IE_XML_ID;IE_NAME;IE_ACTIVE_FROM
2;Екатеринбург;11.05.2023
41302;Санкт-Петербург;
41303;Новосибирск;
41304;Севастополь;
41305;Архангельск;11.05.2023
41306;Астрахань;11.05.2023
41307;Барнаул;
41308;Благовещенск;
41309;Великий Новгород;
41310;Владивосток;
41311;Воронеж;
41312;Грозный;
41313;Евпатория;
41314;Железногорск;
41315;Ижевск;
41316;Казань;
41317;Калуга;
41318;Кемерово;
41319;Киров;
41357;Краснодар;
41358;Магнитогорск;
41359;Мурманск;
41360;Нижний Новгород;
41361;Нижний Тагил;
41362;Новомосковск;
41363;Новый Уренгой;
41364;Ногинск;
41365;Норильск;
41366;Омск;
41367;Орёл;
41368;Оренбург;
41369;Пенза;
41370;Пермь;
41371;Псков;
41372;Ростов-на-Дону;
41373;Рязань;
41374;Самара;
41375;Саратов;
41376;Симферополь;
41377;Смоленск;
41378;Сочи;
41379;Ставрополь;
41380;Сыктывкар;
41381;Тверь;
41382;Тольятти;
41383;Томск;
41384;Тула;
41385;Уфа;
41386;Хабаровск;
41387;Ялта;
41388;Ярославль;
41389;Тюмень;
41390;Иркутск;
41391;Новороссийск;
41392;Красноярск;
41393;Ульяновск;
41394;DEXTER;16.01.2024
41395;Формула-Х;16.01.2024
