IE_XML_ID;IE_NAME
09334abc-6093-11e7-b6b8-704d7b3129d6;100% Accuri Cupcoy
09334ac0-6093-11e7-b6b8-704d7b3129d6;100% Accuri Enduro Tornado
09334ad2-6093-11e7-b6b8-704d7b3129d6;Наколенники 003K
09334ad3-6093-11e7-b6b8-704d7b3129d6;Наколенники AGV Sport 003K черные (универсальный размер)
4ca1b6d7-60a1-11e7-b6b8-704d7b3129d6;Oneal Tyrant MX S/M
be89616c-632a-11e7-b6bc-704d7b3129d6;Моторное масло 300 V 4T FL Road Racing SAE Motul 10W40  (1 л)
be89616e-632a-11e7-b6bc-704d7b3129d6;Моторное масло 300 V 4T FL Road Racing SAE Motul 15W50  (1 л)
be896170-632a-11e7-b6bc-704d7b3129d6;Моторное масло MOTUL 5000 4T SAE 10W40 (1 л)
be896172-632a-11e7-b6bc-704d7b3129d6;Моторное масло MOTUL 7100 4T SAE 10W40 (1л)
be896176-632a-11e7-b6bc-704d7b3129d6;Моторное масло MOTUL 7100 4T SAE 15W50 (1 л)
be89617c-632a-11e7-b6bc-704d7b3129d6;Смазка А2 MOTUL Air Filter Oil Spray (0,4л)
be896180-632a-11e7-b6bc-704d7b3129d6;Очиститель мотоцепей С1 MOTUL Chain Clean (0.4 л)
be896184-632a-11e7-b6bc-704d7b3129d6;Смазка цепи С3 MOTUL Chain Lube Off Road (0.4 л)
61fb93f5-63b5-11e7-b6bc-704d7b3129d6;"Мотоботы FLY RACING MAVERICK MX белые 10""(44,5EU)(2016)"
61fb93f7-63b5-11e7-b6bc-704d7b3129d6;"Мотоботы FLY RACING MAVERICK MX черные 8""(42EU)(2016)"
61fb93f9-63b5-11e7-b6bc-704d7b3129d6;"Мотоботы FLY RACING MAVERICK MX черные 9""(43EU)(2016)"
61fb93fb-63b5-11e7-b6bc-704d7b3129d6;"Мотоботы FLY RACING MAVERICK MX черные10""(44,5EU)(2016)"
80b00991-63c4-11e7-b6bc-704d7b3129d6;Fly Racing  KINETIC PRO TREY CANARD
2a345e64-6477-11e7-b6bc-704d7b3129d6;FLY RACING 5 PIVOT
eaa17b9f-72a4-11e7-b6c1-704d7b3129d6;Защита подростковая Fox Proflame LC Youth White OS
eaa17bc1-72a4-11e7-b6c1-704d7b3129d6;перчатки подростковые Fox Dirtpaw Youth Glove Black M
31c5080a-72c2-11e7-b6c1-704d7b3129d6;очки подростковые 100% Strata JR Goliath /Mirror Silver Lens
acc805c8-7393-11e7-b6c1-704d7b3129d6;Передняя вилка (перья) JMC Suspension 735mm 45/48 (25 LBS) тип 140 МХ
cb98060e-7439-11e7-b6c2-704d7b3129d6;Ключ для подтягивания спиц #12 (5,8) / #13 (6,2)
cb980615-7439-11e7-b6c2-704d7b3129d6;Ключ свечной торцевой шарнирный 16 мм. Хром
cb98061d-7439-11e7-b6c2-704d7b3129d6;Камера 14 задняя мото стандарт 
dd3b86e3-7470-11e7-b6c6-704d7b3129d6;Цепь приводная DID 428 NZ 118 G&B
dd3b86ef-7470-11e7-b6c6-704d7b3129d6;Звезда ведомая 41Т 428
7c70ee56-7516-11e7-b6c6-704d7b3129d6;Чехол на амортизатор 270 мм RockStar
7c70ee6a-7516-11e7-b6c6-704d7b3129d6;Клапан крышки бака
7c70ee6e-7516-11e7-b6c6-704d7b3129d6;Шланг бензиновый цветной Green 1м
71e5bce4-752e-11e7-b6c6-704d7b3129d6;Шланг бензиновый цветной Purple 1м
71e5bd08-752e-11e7-b6c6-704d7b3129d6;Диск тормозной задний 190 мм (тип 125 МХ)
71e5bd10-752e-11e7-b6c6-704d7b3129d6;Лампа 12v21w
71e5bd1c-752e-11e7-b6c6-704d7b3129d6;Ручка сцепления и тормоза (комплект) ASV Blue
3fddec27-768e-11e7-b6c7-704d7b3129d6;Защита рук белая 22мм (НР006)
3fddec29-768e-11e7-b6c7-704d7b3129d6;Защита рук черная 22мм (HP006)
3fddec2d-768e-11e7-b6c7-704d7b3129d6;Кикстартер New 16 мм (160сс)
3fddec35-768e-11e7-b6c7-704d7b3129d6;Ножка переключения передач Алюминий Green
3fddec45-768e-11e7-b6c7-704d7b3129d6;Руль 22.2 мм высокий толстостенный алюминий Pro Taper style Blue color (без подушки)
3fddec53-768e-11e7-b6c7-704d7b3129d6;Ручка газа с роликом ТТ 002 алюминий цвет черный
781ed684-7b3f-11e7-b6ca-704d7b3129d6;Трос газа 125/140cc на ручку с роликом Красный (L935мм ход 115мм)
781ed696-7b3f-11e7-b6ca-704d7b3129d6;Фильтр воздушный 45 мм прямой black outer
781ed698-7b3f-11e7-b6ca-704d7b3129d6;Фильтр топливный CNC разборный Blue
781ed69c-7b3f-11e7-b6ca-704d7b3129d6;Фильтр топливный CNC разборный Red
781ed6a0-7b3f-11e7-b6ca-704d7b3129d6;Фильтр топливный универсальный
781ed6a2-7b3f-11e7-b6ca-704d7b3129d6;Катушка зажигания с колпачком IC001
781ed6b6-7b3f-11e7-b6ca-704d7b3129d6;Свеча зажигания  4629 С7HSA NGK ( стандарт)
781ed6b8-7b3f-11e7-b6ca-704d7b3129d6;Свеча зажигания 2120 D8EA NGK
afdeddd8-7f28-11e7-b6cc-704d7b3129d6;Наклейки стикер-лист BRANDS А3 #8
afdedde4-7f28-11e7-b6cc-704d7b3129d6;Наклейки стикер-лист MONSTER ENERGY A3 #5
515f1cce-7f33-11e7-b6cc-704d7b3129d6;Наклейки стикер-лист А4 TLD
1e835da7-895f-11e7-b6cc-704d7b3129d6;Подшлемник детский Hyperlook Pancher, зеленая строчка (универсальный размер)
d7fa7d88-8bcd-11e7-b6cc-704d7b3129d6;ENI I-RIDE MOTO 10W-40 (1л) полусинтетика
d7fa7d8c-8bcd-11e7-b6cc-704d7b3129d6;Масло моторное синтетическое ENI I-Ride rasing 10w60 1л
d7fa7d90-8bcd-11e7-b6cc-704d7b3129d6;Масло моторное ENI I-RIDE RACING OFF ROAD 10W-50 (1л) синтетика
d7fa7da1-8bcd-11e7-b6cc-704d7b3129d6;Шлем (открытый со стеклом) ORIGINE PALIO SOLID Белый глянцевый L
03b61d95-99ef-11e7-b6d4-704d7b3129d6;Колесо кросс в сборе переднее 70/100-17 (обод DOT, резина Kenda)
03b61db4-99ef-11e7-b6d4-704d7b3129d6;Счетчик моточасов JMC
03b61db6-99ef-11e7-b6d4-704d7b3129d6;Счетчик моточасов с тахометром обнуляемый JMC
03b61dc6-99ef-11e7-b6d4-704d7b3129d6;Крышка бака CNC алюминий Black
0e10394e-c067-11e7-b6d6-704d7b3129d6;Фильтр воздушный 38 мм прямой
0e103950-c067-11e7-b6d6-704d7b3129d6;Воздушный фильтр для питбайка d-38мм 45град. 
a694d1d4-c9da-11e7-b6d6-704d7b3129d6;Защита локтя FLY Racing Flex 2 YOUTH черная (детская)
a694d1e2-c9da-11e7-b6d6-704d7b3129d6;Перчатки Зимние FLY RACING Boundary 11
72d6a4f9-d427-11e7-b6d9-704d7b3129d6;Прокладка поплавковой камеры Mikuni VM 22
edaeb31d-d98a-11e7-b6d9-704d7b3129d6;Цепь привода 520 DX-114L (усиленная) KMC TW
a2dba8b4-e0af-11e7-b6da-704d7b3129d6;Воздушный фильтр закрытый AIRBOX в сборе KAYO CRF
9953e80e-ed4a-11e7-b6da-704d7b3129d6;Фильтр топливный с бронзовым элементом
7663c6ae-f468-11e7-b6db-704d7b3129d6;Цепь приводная DID 428 NZ - 116 ER G&B
7663c6be-f468-11e7-b6db-704d7b3129d6;Счетчик моточасов многофункциональный HM032R
7663c6ce-f468-11e7-b6db-704d7b3129d6;Тормозная система задняя в сборе тип 125-140 МХ
7663c6d0-f468-11e7-b6db-704d7b3129d6;Тормозная система передняя двухпоршневой суппорт L-1130мм. в сборе
7663c6d8-f468-11e7-b6db-704d7b3129d6;Крепление для защиты рук под руль 28 мм. (комплект)
cc26dbf0-f5db-11e7-b6db-704d7b3129d6;Трос газа AVANTIS ENDURO 250/250 PRO
252dcc18-f9f1-11e7-b6db-704d7b3129d6;Камера MITAS 90/100-14 (3.60/4.10-14) TR6 BOX
0e529a28-01c6-11e8-b6dc-704d7b3129d6;Защита колена FLY RACING KNEE SHIN YOUTH (детская)
0e529a32-01c6-11e8-b6dc-704d7b3129d6;Мотоботы FLY RACING MAVERIK ATV 13(48.5EU)
4c69db1d-0268-11e8-b6dc-704d7b3129d6;МОТОПЕРЧАТКИ ЖЕНСКИЕ FOX DIRTPAW WOMENS GLOVE GREY/ORANGE S
d0c2e1bf-0284-11e8-b6dc-704d7b3129d6;МОТОШЛЕМ FOX V1 RACE HELMET WHITE/BLACK/GREEN XS
d0c2e1c5-0284-11e8-b6dc-704d7b3129d6;МОТОШЛЕМ FOX V1 SAYAK HELMET GREEN XS
d0c2e1dd-0284-11e8-b6dc-704d7b3129d6;ОЧКИ FOX MAIN SAYAK GREEN
59482921-118d-11e8-b6e2-704d7b3129d6;Комплект защита(наколенники,налокотники) VEMAR(green)
6b655a15-124f-11e8-b6e2-704d7b3129d6;Шлем (кросс) MC135 RUSH GREEN  MICHIRU S
dc4e08f3-154b-11e8-b6e2-704d7b3129d6;Рюкзак FLY RACING JUMP ROCKSTAR черно-желтый
ab45f04f-2750-11e8-b6e4-704d7b3129d6;Звезда ведущая 16Т 428 - 20 мм
ab45f053-2750-11e8-b6e4-704d7b3129d6;Щётка для чистки цепи SM-PARTS
ab45f05d-2750-11e8-b6e4-704d7b3129d6;Шлем MT SYNCHRONY NATIVE black/flur/green XL
78979504-2859-11e8-b6e4-704d7b3129d6;Женская мотоциклетная черепаха трансформер L
e9560f78-3ef1-11e8-b6e9-704d7b3129d6;Мотоботы Fly Racing Maverik MX черные 8(42EU)
e9560f80-3ef1-11e8-b6e9-704d7b3129d6;"Мотоботы FLY RACING MAVERICK MX черные11""(45,5EU)(2016)"
0614fb99-5d9f-11e8-87c8-20474704919e;Камера IRC Tire 80/100-10 TR-4 IX HEAVY (Усиленная)
df448657-4211-11e8-8d61-20474704919e;ВАЛ ПЕРВИЧНЫЙ КОРОБКИ ПЕРЕДАЧ YX140-150-160 В СБОРЕ
df448659-4211-11e8-8d61-20474704919e;Трос дроссельной заслонки NIBBI зеленый, L=1020 мм
df44865b-4211-11e8-8d61-20474704919e;Грипсы ProTaper Green
df44865d-4211-11e8-8d61-20474704919e;Грипсы ProTaper MAXI LOGO
36e87273-4303-11e8-8d62-20474704919e;Пластик KLX крыло заднее белое
36e87275-4303-11e8-8d62-20474704919e;Крыло переднее Pragasi Ibiza 250
33cee59d-5514-11e8-8d63-20474704919e;Футболка синяя BOSS XL
33cee59f-5514-11e8-8d63-20474704919e;Футболка Makaron красная, мужская
33cee5a1-5514-11e8-8d63-20474704919e;Футболка Красная Makaron размер L
33cee5a3-5514-11e8-8d63-20474704919e;Футболка Красная Makaron размер XL
33cee5a6-5514-11e8-8d63-20474704919e;Толстовка MY76 черная, размер S
33cee5a8-5514-11e8-8d63-20474704919e;Толстовка MY76 черная, размер M
33cee5aa-5514-11e8-8d63-20474704919e;Толстовка MY76 черная, размер L
33cee5ac-5514-11e8-8d63-20474704919e;Толстовка MY76 черная, размер XL
33cee5ae-5514-11e8-8d63-20474704919e;Толстовка Ride It оранжевая, размер S
33cee5b0-5514-11e8-8d63-20474704919e;Толстовка Ride It оранжевая, размер M
33cee5b2-5514-11e8-8d63-20474704919e;Толстовка Ride It оранжевая, размер L
33cee5b4-5514-11e8-8d63-20474704919e;Толстовка Ride It оранжевая, размер XL
33cee5bc-5514-11e8-8d63-20474704919e;Коммутатор (CDI) 4T 154FMI, 157FMI, 166FMM, ATV 150-250 (6 конт.4-2)
33cee5bf-5514-11e8-8d63-20474704919e;Цепь приводная DID 428 NZ 118
6130bd3c-5e71-11e8-8d64-20474704919e;Колесо кросс в сборе заднее 80/100-10 (стальной обод, резина Zhen Ting) 110S
6130bd3e-5e71-11e8-8d64-20474704919e;Колесо кросс в сборе переднее 60/100-12 (стальной обод, резина Zhen Ting) 110 S
6130bd40-5e71-11e8-8d64-20474704919e;Обод колеса кросс 1.85Х14 зад сталь в сборе
6130bd4b-5e71-11e8-8d64-20474704919e;Замок зажигания в сборе
c832bb7d-5f57-11e8-8d64-20474704919e;Диск тормозной передний 210 мм
50833121-5ffe-11e7-b6b8-704d7b3129d6;Защита панцирь Fox Proframe LC Black L/XL
50833122-5ffe-11e7-b6b8-704d7b3129d6;Fox Proframe LC
50833123-5ffe-11e7-b6b8-704d7b3129d6;Fox Proframe LC Red
50833124-5ffe-11e7-b6b8-704d7b3129d6;Защита панцирь Fox Proframe LC White L/XL
50833126-5ffe-11e7-b6b8-704d7b3129d6;Защита панцирь Fox Raptor Vest Black/White L/XL
50833127-5ffe-11e7-b6b8-704d7b3129d6;Fox Raptor Vest
50833128-5ffe-11e7-b6b8-704d7b3129d6;Защита панцирь Fox Raptor Vest Orange L/XL
50833129-5ffe-11e7-b6b8-704d7b3129d6;Fox Titan Sport Jacket
5083312b-5ffe-11e7-b6b8-704d7b3129d6;Leatt GPX 4.5 Brace
5083312c-5ffe-11e7-b6b8-704d7b3129d6;Защитный пояс Fox Belt-Black/Gray
5083312e-5ffe-11e7-b6b8-704d7b3129d6;Fox Comp 5 Boot
50833134-5ffe-11e7-b6b8-704d7b3129d6;Мотоботы Fox Comp 5 Offroad Black/Grey 11
50833135-5ffe-11e7-b6b8-704d7b3129d6;Fox Comp 5 SE Boot
50833137-5ffe-11e7-b6b8-704d7b3129d6;Fox 180 Fiend SE Jersey
50833138-5ffe-11e7-b6b8-704d7b3129d6;Fox 180 Mako Jersey
50833139-5ffe-11e7-b6b8-704d7b3129d6;Fox 180 Nirv Jersey
5083313b-5ffe-11e7-b6b8-704d7b3129d6;Fox 180 Race Jersey
50833146-5ffe-11e7-b6b8-704d7b3129d6;100% Airmatic Glove
5083314c-5ffe-11e7-b6b8-704d7b3129d6;100% ITrack Glove
09334a75-6093-11e7-b6b8-704d7b3129d6;100% ITrack Glove Cyan
09334a79-6093-11e7-b6b8-704d7b3129d6;100% ITrack Glove Fire
09334a7d-6093-11e7-b6b8-704d7b3129d6;100% ITrack Glove Neon
09334a7f-6093-11e7-b6b8-704d7b3129d6;Fox V1 Camo Helmet
09334a80-6093-11e7-b6b8-704d7b3129d6;Fox V1 Falcon Helmet
09334a86-6093-11e7-b6b8-704d7b3129d6;Fox V1 Fiend SE Helmet
09334a8a-6093-11e7-b6b8-704d7b3129d6;Fox V1 Grav Helmet
09334a8c-6093-11e7-b6b8-704d7b3129d6;Fox V1 Mako Helmet
09334a8e-6093-11e7-b6b8-704d7b3129d6;Fox V1 Race Helmet
09334a97-6093-11e7-b6b8-704d7b3129d6;Shift V1 Assault Race Helmet
09334a98-6093-11e7-b6b8-704d7b3129d6;Fox 180 Fiend SE Pant
09334a99-6093-11e7-b6b8-704d7b3129d6;Fox 180 Mako Pant
09334a9a-6093-11e7-b6b8-704d7b3129d6;Fox 180 Nirv Pant
09334a9c-6093-11e7-b6b8-704d7b3129d6;Fox 180 Race Pant
09334aa5-6093-11e7-b6b8-704d7b3129d6;Fox 180 Vicious Pant
09334aa8-6093-11e7-b6b8-704d7b3129d6;Наколенники Fox Titan Pro Knee/Shin Guard Black
09334aa9-6093-11e7-b6b8-704d7b3129d6;Fox Titan Race Knee Guard
09334aaa-6093-11e7-b6b8-704d7b3129d6;Fox Titan Sport Knee Guard
09334aab-6093-11e7-b6b8-704d7b3129d6;Наколенники Leatt Dual Axis Knee & Shin Guard (White/Black, S/M, 2021)
09334aac-6093-11e7-b6b8-704d7b3129d6;Leatt Dual Axis Knee & Shin Guard XXL
09334aad-6093-11e7-b6b8-704d7b3129d6;Leatt Enduro Knee Guard
09334ab1-6093-11e7-b6b8-704d7b3129d6;Налокотники FOX Titan Pro Elbow Guard, Black
09334ab2-6093-11e7-b6b8-704d7b3129d6;Налокотники FOX Titan Race Elbow Guard, Black
09334ab3-6093-11e7-b6b8-704d7b3129d6;Fox Titan Sport Elbow Guard
