IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP546;IP_PROP547;IP_PROP548;IP_PROP549;IP_PROP550;IP_PROP551;IP_PROP552;IC_GROUP0;IC_GROUP1;IC_GROUP2
3;Екатеринбург;965;Y;;;/upload/iblock/935/yd8i8wapanudba66ght1j6r3aldb3ns2.png;;text;/upload/iblock/935/yd8i8wapanudba66ght1j6r3aldb3ns2.png;;text;ekaterenburg;300;;56.834104,60.63546;Екатеринбург;Восточная улица, 7Г, Екатеринбург, Свердловская область, 620100;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Екатеринбург;Екатеринбург;;
41302;Санкт-Петербург;41302;Y;;;/upload/iblock/12d/eq5gxbm58g63oor5w2gmwo0xynmeq6e6.JPG;;text;/upload/iblock/12d/eq5gxbm58g63oor5w2gmwo0xynmeq6e6.JPG;;text;spb;300;;60.001617,30.266781;Санкт-Петербург;Комендантский пр., 4, Санкт-Петербург, Россия, 197372;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;;Санкт-Петербург;;
41303;Новосибирск;41303;Y;;;/upload/iblock/055/0bxhnfx02glmfa02efxuxbdl1hluwr9y.png;;text;/upload/iblock/055/0bxhnfx02glmfa02efxuxbdl1hluwr9y.png;;text;novosibirsk;300;;55.050091,82.941259;Новосибирск;улица Писарева, 102, Новосибирск, 630112;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;;Новосибирск;;
41304;Севастополь;41304;Y;;;/upload/iblock/46c/cbzsw6d2fvq15yzwjrykvn8mwy67kaee.png;;text;/upload/iblock/46c/cbzsw6d2fvq15yzwjrykvn8mwy67kaee.png;;text;sevastopol;300;;44.574979,33.440056;Севастополь;улица Правды, 33А, Севастополь, 299058;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;;Севастополь;;
41305;Архангельск;41305;Y;;;/upload/iblock/305/zpu64w9596b10hlpjyaw8e7b5zavtjhm.png;;text;/upload/iblock/305/zpu64w9596b10hlpjyaw8e7b5zavtjhm.png;;text;arhangelsk;300;;64.534281,40.526084;Архангельск;просп. Троицкий, 20, Архангельск, Архангельская обл., Россия, 163069;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Архангельск;Архангельск;;
41306;Астрахань;41306;Y;;;/upload/iblock/58a/jueeebizuc3g9hhrfumco66skcahb15u.png;;text;/upload/iblock/58a/jueeebizuc3g9hhrfumco66skcahb15u.png;;text;astrahan;300;;46.371248,48.048818;Астрахань;улица Савушкина, 12А, Астрахань, 414056;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Астрахань;Астрахань;;
41307;Барнаул;41307;Y;;;/upload/iblock/093/a3wnljfptfuooasa9veqm6h0ckifcyeg.png;;text;/upload/iblock/093/a3wnljfptfuooasa9veqm6h0ckifcyeg.png;;text;barnaul;300;;53.329434,83.693583;Барнаул;улица Малахова, 179, Барнаул, Алтайский край, 656006;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Барнаул;Барнаул;;
41308;Благовещенск;41308;Y;;;/upload/iblock/652/qmlgaqqp510err73fqs48ij9p52cssiw.png;;text;/upload/iblock/652/qmlgaqqp510err73fqs48ij9p52cssiw.png;;text;blagoveshensk;300;;50.258729,127.518352;Благовещенск;улица Калинина, 8, Благовещенск, Амурская область, 675011;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Благовещенск;Благовещенск;;
41309;Великий Новгород;41309;Y;;;/upload/iblock/5dc/86ejx2vk1y277sc8l41h6vai7bam2cqa.png;;text;/upload/iblock/5dc/86ejx2vk1y277sc8l41h6vai7bam2cqa.png;;text;velnovgorod;300;;58.539101,31.303633;Великий Новгород;Большая Московская улица, 104к2, Великий Новгород, 173020;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Великий Новгород;Великий Новгород;;
41310;Владивосток;41310;Y;;;/upload/iblock/17f/es8jgf4hdg532t10wkam73jpqzbvgkxt.png;;text;/upload/iblock/17f/es8jgf4hdg532t10wkam73jpqzbvgkxt.png;;text;vladivostok;300;;43.129354,131.918819;Владивосток;Народный проспект, 28, Владивосток, Приморский край, 690014;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Владивосток;Владивосток;;
41311;Воронеж;41311;Y;;;/upload/iblock/493/ozmg3s33aaqnzwiq4volt9d6bmhgihww.png;;text;/upload/iblock/493/ozmg3s33aaqnzwiq4volt9d6bmhgihww.png;;text;voronej;300;;51.706477,39.176821;Воронеж;улица Генерала Лизюкова, 17А, Воронеж, 394077;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Воронеж;Воронеж;;
41312;Грозный;41312;Y;;;/upload/iblock/11c/f8egwt192mwi5lqxosgi2fhcs39465ad.png;;text;/upload/iblock/11c/f8egwt192mwi5lqxosgi2fhcs39465ad.png;;text;grojniy;300;;43.322137,45.676179;Грозный;ул. Маяковского, 5, Грозный, Чеченская Респ., 364024;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Грозный;Грозный;;
41313;Евпатория;41313;Y;;;/upload/iblock/c91/9b3869jk4yz0q97am84fys6utrtw15n7.png;;text;/upload/iblock/c91/9b3869jk4yz0q97am84fys6utrtw15n7.png;;text;evpatoriya;300;;45.190635,33.344412;Евпатория;Советская улица, 2/150, Евпатория, Республика Крым, 297407;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Евпатория;Евпатория;;
41314;Железногорск;41314;Y;;;/upload/iblock/8da/256rl9hxcr7bcgzq7q562legah2m7tf5.png;;text;/upload/iblock/8da/256rl9hxcr7bcgzq7q562legah2m7tf5.png;;text;jeleznogorsk;300;;52.348478,35.34752;Железногорск;улица Димитрова, 22, Железногорск, Курская область, 307178;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Железногорск;Железногорск;;
41315;Ижевск;41315;Y;;;/upload/iblock/c32/kz55a5h25nrlwbmertcjfup26crtybqc.png;;text;/upload/iblock/c32/kz55a5h25nrlwbmertcjfup26crtybqc.png;;text;ijevsk;300;;56.871384,53.22554;Ижевск;улица 10 лет Октября, 32Р, Ижевск, Удмуртская Республика, 426011;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;Ижевск;Ижевск;;
41316;Казань;41316;Y;;;/upload/iblock/c6b/o70k8qa9ls1upa1mv980ma8aotkv2val.png;;text;/upload/iblock/c6b/o70k8qa9ls1upa1mv980ma8aotkv2val.png;;text;kazan;300;;55.767753,49.186862;Казань;ул. Даурская, 44 Д, Казань, Респ. Татарстан, Россия, 421001;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;;Казань;;
41317;Калуга;41317;Y;;;/upload/iblock/632/7go9edykdwoc31vrc5fijuc5bjmh9nvk.png;;text;/upload/iblock/632/7go9edykdwoc31vrc5fijuc5bjmh9nvk.png;;text;kaluga;300;;54.576869,36.25536;Калуга;улица Кубяка, 1А, Калуга, 248012;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;;Калуга;;
41318;Кемерово;41318;Y;;;/upload/iblock/617/xpr1son9owap7sc30c5ucwp67wdoxkme.png;;text;/upload/iblock/617/xpr1son9owap7sc30c5ucwp67wdoxkme.png;;text;kemerovo;300;;55.349466,86.137701;Кемерово;Октябрьский проспект, 36, Кемерово, 650023;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;;Кемерово;;
41319;Киров;41319;Y;;;/upload/iblock/f3a/2zn3p3cicat53qj2dxyx7xx6j5eolbd8.png;;text;/upload/iblock/f3a/2zn3p3cicat53qj2dxyx7xx6j5eolbd8.png;;text;kirov;300;;58.508116,49.702399;Киров;Советская улица, 49А, Нововятский район, Киров, 610008;+7 (968) 998 46 12;info@pitland.ru;10:00-21:00;;Киров;;
