IE_XML_ID;IE_NAME;IE_ACTIVE_FROM
2;Екатеринбург;11.05.2023
41302;Санкт-Петербург;11.05.2023
41303;Новосибирск;11.05.2023
41304;Севастополь;11.05.2023
41305;Архангельск;11.05.2023
41306;Астрахань;11.05.2023
41307;Барнаул;11.05.2023
41308;Благовещенск;11.05.2023
41309;Великий Новгород;11.05.2023
41310;Владивосток;11.05.2023
41311;Воронеж;11.05.2023
41312;Грозный;11.05.2023
41313;Евпатория;11.05.2023
41314;Железногорск;11.05.2023
41315;Ижевск;11.05.2023
41316;Казань;11.05.2023
41317;Калуга;11.05.2023
41318;Кемерово;11.05.2023
41319;Киров;11.05.2023
41357;Краснодар;11.05.2023
41358;Магнитогорск;11.05.2023
41359;Мурманск;11.05.2023
41360;Нижний Новгород;11.05.2023
41361;Нижний Тагил;11.05.2023
41362;Новомосковск;11.05.2023
41363;Новый Уренгой;11.05.2023
41364;Ногинск;11.05.2023
41365;Норильск;11.05.2023
41366;Омск;11.05.2023
41367;Орёл;11.05.2023
41368;Оренбург;11.05.2023
41369;Пенза;11.05.2023
41370;Пермь;11.05.2023
41371;Псков;11.05.2023
41372;Ростов-на-Дону;11.05.2023
41373;Рязань;11.05.2023
41374;Самара;11.05.2023
41375;Саратов;11.05.2023
41376;Симферополь;11.05.2023
41377;Смоленск;11.05.2023
41378;Сочи;11.05.2023
41379;Ставрополь;11.05.2023
41380;Сыктывкар;11.05.2023
41381;Тверь;11.05.2023
41382;Тольятти;11.05.2023
41383;Томск;11.05.2023
41384;Тула;11.05.2023
41385;Уфа;11.05.2023
41386;Хабаровск;11.05.2023
41387;Ялта;11.05.2023
41388;Ярославль;11.05.2023
41389;Тюмень;11.05.2023
41390;Иркутск;11.05.2023
41391;Новороссийск;11.05.2023
41392;Красноярск;11.05.2023
41393;Ульяновск;11.05.2023
41394;DEXTER;11.05.2023
41395;Формула-Х;11.05.2023
